material_id,formula_pretty,n_elements,contains_transition_metal,formation_energy_per_atom,energy_per_atom,band_gap,is_semiconductor,density,volume,elements
mp-756176,Li2CrS3,3,False,0.8778790581320673,0.5184841643356229,-0.8682128617659177,False,-0.6346557613385231,-0.128617443169999,"['Cr', 'Li', 'S']"
mp-1175222,Li7Mn4CoO12,4,True,-0.0963328348307712,0.1046886952657014,-0.2808316473451485,False,0.1296784444635262,-0.6068599811226113,"['Co', 'Li', 'Mn', 'O']"
mp-1174116,Li5Co3O8,3,True,0.3565613714804371,0.3538093265730656,-0.8682128617659177,False,0.2063528030597115,-0.8370614637558561,"['Co', 'Li', 'O']"
mp-756384,Li3Cr2Fe5O12,4,True,0.1378656582261787,-0.0966442614424145,-0.8682128617659177,False,0.3995467035850114,-0.5807614371916855,"['Cr', 'Fe', 'Li', 'O']"
mp-769928,Li4NbV3O8,4,False,-0.5240391831592885,-0.1331044210149024,-0.8682128617659177,False,0.3425448385384009,-0.7864788127534417,"['Li', 'Nb', 'O', 'V']"
mp-1097187,Li2MgZn,3,False,3.2596601173258763,1.91183783142624,-0.4176051405013392,False,-2.3994477844786504,1.7924135782149215,"['Li', 'Mg', 'Zn']"
mp-768437,Li2Bi(BO3)2,4,False,-0.3959635966476688,0.0955753723017376,-0.8418738078858395,False,0.3966612803139135,0.2654600371925747,"['B', 'Bi', 'Li', 'O']"
mp-772727,NaLi5Mn2P2(CO7)2,6,True,-0.4714020798801001,-0.0114208963360983,1.7324470880539462,True,-0.6753496265990391,0.4326835427012059,"['C', 'Li', 'Mn', 'Na', 'O', 'P']"
mp-774377,Li4Mn3Fe(BO3)4,5,True,-0.5384057790664717,-0.1710612456661633,1.2854956878935433,True,-0.3645604628928546,0.2088814480133265,"['B', 'Fe', 'Li', 'Mn', 'O']"
mp-850913,LiVOF3,4,False,-1.0734056693178398,0.2071534888538601,0.2533974917649222,True,-0.5731704316863167,0.496875069966715,"['F', 'Li', 'O', 'V']"
mp-754749,Li2CoOF3,4,True,-0.572630594296299,0.4907326749605755,-0.3947869884252816,False,-0.3273168438045644,-0.3805648574976339,"['Co', 'F', 'Li', 'O']"
mp-801980,Li3Ni5OF11,4,True,0.956585657866517,0.9114830546216516,0.1389681831342485,True,0.3081024059337747,-0.62405935973261,"['F', 'Li', 'Ni', 'O']"
mp-757010,Li3Fe(NiO2)4,4,True,0.4920620430943395,0.2739848680299167,-0.8682128617659177,False,0.8714914425963827,-0.8211394163949393,"['Fe', 'Li', 'Ni', 'O']"
mp-31560,Li2Co(PO3)4,4,True,-0.5859490691471696,-0.0205293265260182,1.269109952574832,True,-0.8144695224797875,0.233532781240561,"['Co', 'Li', 'O', 'P']"
mp-764801,Li2Cu5F12,3,False,-0.1201810503661662,0.0331137767240767,-0.8682128617659177,False,0.2107531700957804,0.0819265769578437,"['Cu', 'F', 'Li']"
mp-760174,Li7Fe4NiO12,4,True,0.2526437445443126,0.2465476041649227,-0.8682128617659177,False,0.2634112570072913,-0.6333899912678137,"['Fe', 'Li', 'Ni', 'O']"
mp-753986,Li6Mn(OF2)2,4,True,-0.7188067632519258,0.4973363506935552,1.0160112805858017,True,-1.0489838833188287,-0.3391924165722473,"['F', 'Li', 'Mn', 'O']"
mp-773065,Li5V5Cr2O12,4,False,-0.4185582000621001,-0.1873394331016986,-0.6770008099475602,False,0.3094121996975998,-0.5718440468001706,"['Cr', 'Li', 'O', 'V']"
mp-1210887,LiGa2,2,False,2.0750069510931417,-0.3582354010244096,-0.8682128617659177,False,0.2713126763664534,-0.5625401701807888,"['Ga', 'Li']"
mp-1174556,Li4MnCo2O7,4,True,0.1131118128920408,0.2069586203063025,-0.2341119887917961,False,0.3041404756414317,-0.525288541539046,"['Co', 'Li', 'Mn', 'O']"
mp-1180450,LiVTeO5,4,False,0.6029475877441703,0.287798941716669,-0.2051999682087796,False,-0.412272619920264,0.3865386369440414,"['Li', 'O', 'Te', 'V']"
mp-1174351,Li4Mn3O7,3,True,-0.1694264707197026,0.0483605251678135,-0.0584731564912227,False,0.0874798833281779,-0.4855510974921161,"['Li', 'Mn', 'O']"
mp-752665,Li3Ti3VO8,4,False,-1.067403895659882,-0.2530813683863969,-0.8682128617659177,False,-0.0102361145254239,-0.3565321398914781,"['Li', 'O', 'Ti', 'V']"
mp-782652,Li4Ti3Cr3(NiO8)2,5,True,-0.5262697539045682,-0.1648551028192234,-0.2485341442582658,False,0.1915207094558503,-0.4057539704385539,"['Cr', 'Li', 'Ni', 'O', 'Ti']"
mp-758470,LiFe2P5O16,4,True,-0.5050671087644516,-0.1067642753846966,0.933608636441701,True,-0.7981465049252673,0.7474464216570778,"['Fe', 'Li', 'O', 'P']"
mp-1663998,Li2Mn3FeO8,4,True,-0.0063383808911525,-0.1075896861307022,-0.5399564781910601,False,0.3080720086893836,-0.412471787607478,"['Fe', 'Li', 'Mn', 'O']"
mp-1371287,LiFeSi3O8,4,True,3.5008905652043283,0.9836569481309586,-0.8682128617659177,False,-0.5734490374755163,-0.3264814560079392,"['Fe', 'Li', 'O', 'Si']"
mp-1304742,Li4Mn3NbO8,4,True,-0.3942213513525159,-0.103117117007013,-0.2131897069179043,False,0.2734009818907857,-0.28471419784429,"['Li', 'Mn', 'Nb', 'O']"
mp-772109,LiSiBiO4,4,False,-0.5739822962215037,0.1017716275301916,1.2747298535312497,True,1.6671706449355972,-0.2917568071624656,"['Bi', 'Li', 'O', 'Si']"
